prev_trade_id,symbol,strategy,entry_type,direction,entry_date,entry_timestamp,instrument_type,quantity,entry_price,stop_price,exit_price,exit_date,exit_timestamp,capital_required,trade_duration,winning_trade,risk_reward,risk_per_trade,perc_return,risk_size
458,NVDA,level break,anticipation,bearish,2025-02-06,10:02:25,stock,400,125.61,125.91,125.91,2025-02-06,,50245.520,0.00,0,-1.00,0.43,-0.43,116.00
459,NVDA,undercut & rally,anticipation,bullish,2025-02-06,10:03:31,stock,675,126.04,125.84,126.67,2025-02-06,,85077.000,0.00,1,3.15,0.50,1.58,135.00
460,META,level break,anticipation,bullish,2025-02-06,10:08:43,stock,50,714.92,713.88,715.39,2025-02-06,,35746.000,0.00,1,0.45,0.19,0.09,52.00
461,NVDA,level break,anticipation,bearish,2025-02-06,11:19:52,stock,400,126.54,126.75,126.78,2025-02-06,,50616.510,0.00,0,-1.12,0.31,-0.35,83.00
462,NVDA,level bounce,anticipation,bullish,2025-02-10,09:30:56,stock,400,131.30,131.02,133.32,2025-02-10,,52519.010,0.00,1,7.27,0.41,2.99,111.00
463,PLTR,undercut & rally,anticipation,bullish,2025-02-10,09:36:41,stock,447,110.00,109.70,110.75,2025-02-10,,49133.330,0.00,1,2.50,0.50,1.24,134.00
464,PLTR,level break,anticipation,bullish,2025-02-10,10:24:34,stock,300,112.88,112.55,114.97,2025-02-11,,33862.510,1.00,1,6.46,0.36,2.33,98.00
465,TSLA,level bounce,anticipation,bullish,2025-02-11,09:33:25,stock,100,346.46,345.46,346.46,2025-02-11,,34646.000,0.00,1,0.00,0.37,0.00,100.00
466,TSLA,level break,anticipation,bearish,2025-02-11,09:40:38,stock,100,344.48,345.48,334.10,2025-02-11,,34448.020,0.00,1,10.38,0.37,3.84,100.00
467,TSLA,level break,anticipation,bearish,2025-02-11,11:41:03,stock,100,334.49,335.49,334.49,2025-02-11,,33449.050,0.00,1,0.00,0.37,0.00,100.00
468,META,level break,anticipation,bullish,2025-02-11,13:27:55,stock,100,719.01,718.01,721.22,2025-02-11,,71901.000,0.00,1,2.21,0.37,0.82,100.00
472,TSLA,level break,anticipation,bullish,2025-02-13,09:59:50,stock,100,351.51,350.45,354.58,2025-02-13,,35151.000,0.00,1,2.89,0.39,1.14,106.00
475,PLTR,level break,anticipation,bullish,2025-02-13,14:56:39,stock,170,117.04,116.73,117.53,2025-02-13,,19896.110,0.00,1,1.62,0.26,0.41,69.00
487,TSLA,cib,confirmation,bullish,2025-02-18,13:59:42,stock,141,351.49,350.49,353.01,2025-02-18,,49414.790,0.00,1,1.52,0.50,0.76,141.00
490,NBIS,level bounce,confirmation,bullish,2025-02-19,10:30:25,stock,600,45.73,45.50,47.08,2025-02-19,,27435.010,0.00,1,6.04,0.48,2.90,135.00
491,HIMS,cib,confirmation,bullish,2025-02-19,10:59:54,stock,180,68.66,67.89,67.89,2025-02-19,,12358.010,0.00,0,-1.00,0.49,-0.49,137.00
496,TEM,trendline break,anticipation,bearish,2025-02-20,10:49:10,stock,300,72.80,73.20,73.20,2025-02-20,,21840.830,0.00,0,-1.00,0.42,-0.42,119.00
497,TEM,level bounce,confirmation,bullish,2025-02-20,11:30:28,stock,330,73.23,72.92,75.25,2025-02-20,,24166.960,0.00,1,6.43,0.37,2.36,103.00
498,TEM,trendline break,anticipation,bearish,2025-02-21,10:27:37,stock,780,72.75,72.90,72.20,2025-02-21,,56745.000,0.00,1,3.67,0.42,1.53,117.00
499,TEM,level break,anticipation,bearish,2025-02-21,14:05:04,stock,490,70.17,70.47,68.34,2025-02-21,,34349.990,0.00,1,6.12,0.52,3.19,147.00
500,HOOD,level bounce,confirmation,bullish,2025-02-21,15:00:36,stock,400,52.40,52.06,52.36,2025-02-21,,20958.010,0.00,0,-0.10,0.48,-0.05,134.00
506,ASTS,cib,confirmation,bullish,2025-02-24,15:28:17,stock,1000,28.24,28.13,28.85,2025-02-24,,28243.040,0.00,1,5.37,0.40,2.14,113.00
511,VRT,structure breaks,anticipation,bearish,2025-02-26,13:31:34,stock,683,98.79,99.00,97.93,2025-02-26,,67521.370,0.00,1,4.16,0.50,2.08,142.00
514,SMCI,trendline ft,anticipation,bearish,2025-02-27,12:36:23,stock,711,45.73,45.93,43.99,2025-02-27,,32497.090,0.00,1,8.72,0.50,4.36,142.00
516,TEM,T on structure breaks,anticipation,bearish,2025-02-27,13:30:17,stock,450,58.00,58.27,58.31,2025-02-27,,26101.430,0.00,0,-1.13,0.42,-0.48,120.00
517,TEM,T on structure breaks,anticipation,bearish,2025-02-27,14:15:24,stock,720,57.59,57.78,55.95,2025-02-27,,41467.100,0.00,1,8.77,0.47,4.15,134.00
518,VRT,T on cibs,confirmation,bearish,2025-02-27,15:00:30,stock,400,94.28,94.50,92.78,2025-02-27,,37711.000,0.00,1,6.72,0.31,2.10,89.00
519,HOOD,T on cibs,confirmation,bullish,2025-02-28,12:02:20,stock,1433,50.42,50.32,50.92,2025-02-28,,72235.420,0.00,1,5.00,0.50,2.50,142.00
521,VNET,T on cibs,confirmation,bullish,2025-02-28,15:00:53,stock,2200,11.56,11.50,11.80,2025-02-28,,25421.080,0.00,1,4.45,0.43,1.90,121.00
522,HIMS,T on level bounces,confirmation,bullish,2025-03-03,12:03:48,stock,700,42.51,42.30,42.28,2025-03-03,,29753.520,0.00,0,-1.12,0.51,-0.57,144.00
